segment_id,predicted_label,video_sentiment_class,audio_label,audio_gt,post_fusion
oPvUDLhTrjI,2,2,0,1,2
oWAyEzyp2xQ,0,0,2,0,0
oecQ9yDtfx0,1,2,1,2,1
pSxte-ms0t8,0,2,0,2,0
pYUTSG9frAk,2,2,2,2,2
pfCPogxnUfw,2,0,2,0,2
qJBQH14qtHc,0,0,0,0,0
qed3medhsj4,0,0,2,2,0
qkWdc-E6jGI,2,1,0,0,1
r8OPmbZZlpE,2,1,2,2,2
rC29Qub0U7A,2,0,2,2,2
rojyUp4FPSg,2,2,0,2,2
teQqaAmqqx0,2,1,0,1,1
tnWmVXZ87h0,2,0,0,2,0
uacdDoBtT1k,0,2,2,1,2
v9GshyXtiWg,2,1,2,0,2
vHzbn_YW76s,2,2,0,1,2
vop7tN_K64I,2,2,1,2,2
vttEPA6Xffk,2,0,0,1,0
wNx1ZnQ0MDQ,1,2,2,2,2
wOKWTFYYMuk,2,2,2,2,2
wR3zalLV_6c,2,2,2,2,2
wY8JbFOsp5E,2,2,1,1,2
xXGEkDhu94E,2,2,2,0,2
xge9aYTxxOA,1,2,1,0,1
xn9_4n4NpEw,2,2,2,1,2
y3r2kk8zvl0,2,0,1,1,1
yCpHmPSshKY,2,2,2,2,2
ybK5wRaaUyE,0,2,0,0,0
ymPQOY2O_nw,1,2,1,1,1
yoDMh8FlHR8,0,1,2,2,1
z0y1ZxH1f74,1,0,0,0,0
zeQKU2L173M,2,2,2,1,2
zknhrUs7-lI,2,0,2,2,2
